ID,Original Text,Tiny Tokens,Tiny Output,Kuromoji Tokens,Kuromoji Output,Difference
1,"みなさん こんにちは なおこです",8,"みなさん |   | こん | にち | は |   | なおこ | です",6,"みなさん |   | こんにちは |   | なおこ | です",2
2,"みなさん きのうは なにをしましたか?",13,"みなさん |   | き | のう | は |   | なに | を | し | まし | た | か | ?",12,"みなさん |   | きのう | は |   | なに | を | し | まし | た | か | ?",1
3,"きょうは きのうしたことについて はなします",13,"きょう | は |   | き | のう | し | た | こと | について |   | は | なし | ます",11,"きょう | は |   | きのう | し | た | こと | について |   | はなし | ます",2
4,"どれくらい りかいできるか チャレンジです",8,"どれくらい |   | りかい | できる | か |   | チャレンジ | です",10,"どれ | くらい |   | り | かい | できる | か |   | チャレンジ | です",-2
5,"どうぞ",1,"どうぞ",1,"どうぞ",0
6,"わたしは きのう あさ 8じくらいに おきて",12,"わたし | は |   | きのう |   | あさ |   | 8 | じくらい | に |   | おきて",15,"わたし | は |   | きのう |   | あ | さ |   | 8 | じ | くらい | に |   | おき | て",-3
7,"かおを あらって はを みがきました",11,"かお | を |   | あらって |   | は | を |   | みがき | まし | た",12,"かお | を |   | あらっ | て |   | は | を |   | みがき | まし | た",-1
8,"そして メイクをして きがえました",10,"そして |   | メイク | を | して |   | き | がえ | まし | た",10,"そして |   | メイク | を | し | て |   | きがえ | まし | た",0
9,"そして おみずを いっぱい のみました",10,"そして |   | おみず | を |   | いっぱい |   | のみ | まし | た",12,"そして |   | お | み | ず | を |   | いっぱい |   | のみ | まし | た",-2
10,"わたしは ふだん あさごはんを ぜんぜん たべません",13,"わたし | は |   | ふだん |   | あさご | はん | を |   | ぜんぜん |   | たべませ | ん",15,"わたし | は |   | ふだん |   | あ | さ | ごはん | を |   | ぜんぜん |   | たべ | ませ | ん",-2
11,"こうこうせいのときは よく あさごはんを たべていました",18,"こう | こう | せい | の | とき | は |   | よく |   | あさご | はん | を |   | たべ | て | い | まし | た",18,"こう | こうせい | の | とき | は |   | よく |   | あ | さ | ごはん | を |   | たべ | て | い | まし | た",0
12,"たとえば みそしるとか ごはんとか ぱん",12,"た | とえば |   | みそしる | とか |   | ご | はん | と | か |   | ぱん",10,"たとえば |   | みそ | しる | とか |   | ごはん | とか |   | ぱん",2
13,"そして まえのひの よるごはんに たべた のこり",16,"そして |   | まえ | の | ひ | の |   | よる | ご | はん | に |   | たべた |   | の | こり",15,"そして |   | まえ | の | ひ | の |   | よる | ごはん | に |   | たべ | た |   | のこり",1
14,"のこりものを よく たべていました",12,"の | こり | もの | を |   | よく |   | たべ | て | い | まし | た",11,"のこり | もの | を |   | よく |   | たべ | て | い | まし | た",1
15,"のこりものです",4,"の | こり | もの | です",3,"のこり | もの | です",1
16,"でも さいきんは ぜんぜん あさごはんを たべません",13,"でも |   | さいきん | は |   | ぜんぜん |   | あさご | はん | を |   | たべませ | ん",16,"でも |   | さいき | ん | は |   | ぜんぜん |   | あ | さ | ごはん | を |   | たべ | ませ | ん",-3
17,"そして せんたくをして せんたくものを ほしました",15,"そして |   | せん | たく | を | し | て |   | せんたく | もの | を |   | ほし | まし | た",16,"そして |   | せん | たく | を | し | て |   | せん | たく | もの | を |   | ほし | まし | た",-1
18,"そして あさの 9じくらいに",7,"そして |   | あさの |   | 9 | じくらい | に",8,"そして |   | あさの |   | 9 | じ | くらい | に",-1
19,"わたしの しんせきの はたけに いきました",13,"わたし | の |   | しんせき | の |   | は | たけ | に |   | いき | まし | た",13,"わたし | の |   | しん | せき | の |   | はたけ | に |   | いき | まし | た",0
20,"ごぜんちゅうは はたけで すこし はたらきました",13,"ごぜんちゅう | は |   | は | たけ | で |   | すこし |   | は | たらき | まし | た",12,"ご | ぜんち | ゅうは |   | はたけ | で |   | すこし |   | はたらき | まし | た",1
21,"ビーツの たねを まきました",9,"ビーツ | の |   | たね | を |   | まき | まし | た",9,"ビーツ | の |   | たね | を |   | まき | まし | た",0
22,"ビーツは あかいやさいですね",6,"ビーツ | は |   | あかいやさい | です | ね",7,"ビーツ | は |   | あかい | やさい | です | ね",-1
23,"たくさん たねを まいたので たべるのが たのしみです",18,"たく | さん |   | たね | を |   | まい | た | の | で |   | たべる | の | が |   | た | のしみ | です",15,"たくさん |   | たね | を |   | まい | た | ので |   | たべる | の | が |   | たのしみ | です",3
24,"そして おひるは いえに かえりました",11,"そして |   | おひる | は |   | いえ | に |   | かえり | まし | た",12,"そして |   | お | ひる | は |   | いえ | に |   | かえり | まし | た",-1
25,"いえに かえって おひるごはんを たべました",14,"いえ | に |   | かえっ | て |   | おひる | ご | はん | を |   | たべ | まし | た",13,"いえ | に |   | かえって |   | お | ひる | ごはん | を |   | たべ | まし | た",1
26,"きのうは なにを たべたかな",10,"き | のう | は |   | なに | を |   | たべ | たか | な",10,"きのう | は |   | なに | を |   | たべ | た | か | な",0
27,"あ パスタ パスタです",6,"あ |   | パスタ |   | パスタ | です",6,"あ |   | パスタ |   | パスタ | です",0
28,"トマトソースと アンチョビと チーズのパスタを つくりました",14,"トマトソース | と |   | アンチョビ | と |   | チーズ | の | パスタ | を |   | つくり | まし | た",15,"トマト | ソース | と |   | アンチョビ | と |   | チーズ | の | パスタ | を |   | つくり | まし | た",-1
