ID,Original Text,Token Count (Tiny),TinySegmenter Tokens,Kuromoji Tokens (TBD)
1,"みなさん こんにちは なおこです",8,"みなさん |   | こん | にち | は |   | なおこ | です",""
2,"みなさん きのうは なにをしましたか?",13,"みなさん |   | き | のう | は |   | なに | を | し | まし | た | か | ?",""
3,"きょうは きのうしたことについて はなします",13,"きょう | は |   | き | のう | し | た | こと | について |   | は | なし | ます",""
4,"どれくらい りかいできるか チャレンジです",8,"どれくらい |   | りかい | できる | か |   | チャレンジ | です",""
5,"どうぞ",1,"どうぞ",""
6,"わたしは きのう あさ 8じくらいに おきて",12,"わたし | は |   | きのう |   | あさ |   | 8 | じくらい | に |   | おきて",""
7,"かおを あらって はを みがきました",11,"かお | を |   | あらって |   | は | を |   | みがき | まし | た",""
8,"そして メイクをして きがえました",10,"そして |   | メイク | を | して |   | き | がえ | まし | た",""
9,"そして おみずを いっぱい のみました",10,"そして |   | おみず | を |   | いっぱい |   | のみ | まし | た",""
10,"わたしは ふだん あさごはんを ぜんぜん たべません",13,"わたし | は |   | ふだん |   | あさご | はん | を |   | ぜんぜん |   | たべませ | ん",""
11,"こうこうせいのときは よく あさごはんを たべていました",18,"こう | こう | せい | の | とき | は |   | よく |   | あさご | はん | を |   | たべ | て | い | まし | た",""
12,"たとえば みそしるとか ごはんとか ぱん",12,"た | とえば |   | みそしる | とか |   | ご | はん | と | か |   | ぱん",""
13,"そして まえのひの よるごはんに たべた のこり",16,"そして |   | まえ | の | ひ | の |   | よる | ご | はん | に |   | たべた |   | の | こり",""
14,"のこりものを よく たべていました",12,"の | こり | もの | を |   | よく |   | たべ | て | い | まし | た",""
15,"のこりものです",4,"の | こり | もの | です",""
16,"でも さいきんは ぜんぜん あさごはんを たべません",13,"でも |   | さいきん | は |   | ぜんぜん |   | あさご | はん | を |   | たべませ | ん",""
17,"そして せんたくをして せんたくものを ほしました",15,"そして |   | せん | たく | を | し | て |   | せんたく | もの | を |   | ほし | まし | た",""
18,"そして あさの 9じくらいに",7,"そして |   | あさの |   | 9 | じくらい | に",""
19,"わたしの しんせきの はたけに いきました",13,"わたし | の |   | しんせき | の |   | は | たけ | に |   | いき | まし | た",""
20,"ごぜんちゅうは はたけで すこし はたらきました",13,"ごぜんちゅう | は |   | は | たけ | で |   | すこし |   | は | たらき | まし | た",""
21,"ビーツの たねを まきました",9,"ビーツ | の |   | たね | を |   | まき | まし | た",""
22,"ビーツは あかいやさいですね",6,"ビーツ | は |   | あかいやさい | です | ね",""
23,"たくさん たねを まいたので たべるのが たのしみです",18,"たく | さん |   | たね | を |   | まい | た | の | で |   | たべる | の | が |   | た | のしみ | です",""
24,"そして おひるは いえに かえりました",11,"そして |   | おひる | は |   | いえ | に |   | かえり | まし | た",""
25,"いえに かえって おひるごはんを たべました",14,"いえ | に |   | かえっ | て |   | おひる | ご | はん | を |   | たべ | まし | た",""
26,"きのうは なにを たべたかな",10,"き | のう | は |   | なに | を |   | たべ | たか | な",""
27,"あ パスタ パスタです",6,"あ |   | パスタ |   | パスタ | です",""
28,"トマトソースと アンチョビと チーズのパスタを つくりました",14,"トマトソース | と |   | アンチョビ | と |   | チーズ | の | パスタ | を |   | つくり | まし | た",""
29,"しりあいが いえにきたので たくさん つくりました",15,"しり | あい | が |   | いえ | にき | た | の | で |   | たくさん |   | つくり | まし | た",""
30,"トマトソースと チーズと アンチョビ",7,"トマトソース | と |   | チーズ | と |   | アンチョビ",""
